"slug","title","creator","search_url","cover_url","notes"
"the-holy-bible","The Holy Bible","Various Authors","https://openlibrary.org/search?q=The%20Holy%20Bible%20Various%20Authors","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"mere-christianity","Mere Christianity","C. S. Lewis","https://openlibrary.org/search?q=Mere%20Christianity%20C.%20S.%20Lewis","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"confessions-augustine","Confessions","Augustine of Hippo","https://openlibrary.org/search?q=Confessions%20Augustine%20of%20Hippo","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"introduction-to-christianity","Introduction to Christianity","Joseph Ratzinger","https://openlibrary.org/search?q=Introduction%20to%20Christianity%20Joseph%20Ratzinger","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"the-cost-of-discipleship","The Cost of Discipleship","Dietrich Bonhoeffer","https://openlibrary.org/search?q=The%20Cost%20of%20Discipleship%20Dietrich%20Bonhoeffer","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"the-orthodox-way","The Orthodox Way","Kallistos Ware","https://openlibrary.org/search?q=The%20Orthodox%20Way%20Kallistos%20Ware","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"meditations","Meditations","Marcus Aurelius","https://openlibrary.org/search?q=Meditations%20Marcus%20Aurelius","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"the-republic","The Republic","Plato","https://openlibrary.org/search?q=The%20Republic%20Plato","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"nicomachean-ethics","Nicomachean Ethics","Aristotle","https://openlibrary.org/search?q=Nicomachean%20Ethics%20Aristotle","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"the-consolation-of-philosophy","The Consolation of Philosophy","Boethius","https://openlibrary.org/search?q=The%20Consolation%20of%20Philosophy%20Boethius","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"justice-what-is-the-right-thing-to-do","Justice: What’s the Right Thing to Do?","Michael Sandel","https://openlibrary.org/search?q=Justice:%20What%E2%80%99s%20the%20Right%20Thing%20to%20Do?%20Michael%20Sandel","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"existentialism-is-a-humanism","Existentialism Is a Humanism","Jean-Paul Sartre","https://openlibrary.org/search?q=Existentialism%20Is%20a%20Humanism%20Jean-Paul%20Sartre","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
